Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,AUS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.8928569999,0.8928569999,0.8928569999,0.8928569999,0.8928569999,0.8928569999,0.8928569999,0.8928569999,0.8928569999,0.8928569999,0.8928569999,0.8826702593,0.8386978073,0.7034971016,0.6966658686,0.763871249,0.8182840823,0.901824999,0.873659249,0.8946409157,0.8782443323,0.8702145823,0.9858628323,1.110014999,1.139519166,1.431895,1.495974166,1.42818,1.279908333,1.264596667,1.281056667,1.283755833,1.361648333,1.47056,1.367750833,1.3490325,1.277863333,1.34738,1.591828333,1.54995,1.724826667,1.9334425,1.8405625,1.541914167,1.3597525,1.309473333,1.327973441,1.1950725,1.192178333,1.28218881,1.090159486,0.9694632015,0.9658010307,1.035843097,,,,,
Austria,AUT,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,26.00000003,26.00000003,26.00000003,26.00000003,26.00000003,26.00000003,26.00000003,26.00000003,26.00000003,26.00000003,26.00000003,24.9855839,23.11533333,19.58,18.6925,17.41675,17.93966667,16.52691667,14.52166667,13.3675,12.938,15.92683333,17.05925,17.96333333,20.00908333,20.6895,15.26713333,12.6425,12.34766667,13.23066667,11.36983333,11.67591667,10.98933333,11.6321825,11.42182492,10.08149583,10.5865575,12.20424417,12.379065,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01084,0.019995,0.314045,0.8827085,0.8602528333,0.797075,0.7737996867,0.8240333333,0.89483075,0.9313166667,0.9721641667,0.982146,0.9826955,0.945421,0.893445,0.8581238082,0.8216195789,0.8037833333,0.80265,0.7896863889,0.7856453495,0.7845410753,,,,,
Burundi,BDI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,50.00000005,50.00000005,50.00000005,50.00000005,50.00000005,84.37500008,87.50000009,87.50000009,87.50000009,87.50000009,87.50000009,87.5,87.5,80.02608333,78.75,78.75,86.25,90,90,90,90,90,90,92.94833333,119.7091667,120.69075,114.1710833,123.5638333,140.395,158.6666667,171.2554167,181.5125833,208.3026667,242.78,252.6625,249.7575,302.7466667,352.3508333,447.7658333,563.5625,720.6733333,830.3533333,930.7491667,1082.62,1100.9,1081.577167,1028.683553,1081.869683,1185.690833,1230.179167,1230.748333,1261.073333,1442.505625,1555.090833,,,,,
Belgium,BEL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,50.00000005,50.00000005,50.00000005,50.00000005,50.00000005,50.00000005,50.00000005,50.00000005,50.00000005,50.00000005,50.00000005,49.05697742,44.01458333,38.9765,38.9515,36.77891667,38.60516667,35.84275,31.49208333,29.31866667,29.24166667,37.12925,45.69058333,51.13166667,57.78391667,59.378,44.67191667,37.33408333,36.76833333,39.404,33.41791667,34.14825,32.1495,34.59652083,33.4564975,29.48001667,30.96151333,35.77389083,36.29864083,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,245.1951014,245.2601016,245.0138507,245.0163507,245.0271841,245.0609342,245.6784366,246.0009378,247.5646938,259.9605744,276.403137,275.3564567,252.0276275,222.8891831,240.7046676,214.3129003,238.9504943,245.6796866,225.6558602,212.7216443,211.2795554,271.7314526,328.6062527,381.066036,436.9566658,449.2629627,346.3059036,300.5365624,297.8482188,319.0082995,272.264788,282.1069088,264.6918008,283.1625795,555.2046957,499.1484259,511.5524303,583.6693724,589.9517746,615.699132,711.9762744,733.0385071,696.9882036,581.2003139,528.2848093,527.4681428,522.8901096,479.2667826,447.8052556,472.1862908,495.2770216,471.8661141,510.5271359,494.0400374,,,,,
Burkina Faso,BFA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,245.1951014,245.2601016,245.0138507,245.0163507,245.0271841,245.0609342,245.6784366,246.0009378,247.5646938,259.9605744,276.403137,275.3564567,252.0276275,222.8891831,240.7046676,214.3129003,238.9504943,245.6796866,225.6558602,212.7216443,211.2795554,271.7314526,328.6062527,381.066036,436.9566658,449.2629627,346.3059036,300.5365624,297.8482188,319.0082995,272.264788,282.1069088,264.6918008,283.1625795,555.2046957,499.1484259,511.5524303,583.6693724,589.9517746,615.699132,711.9762744,733.0385071,696.9882036,581.2003139,528.2848093,527.4681428,522.8901096,479.2667826,447.8052556,472.1862908,495.2770216,471.8661141,510.5271359,494.0400374,,,,,
Bangladesh,BGD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,7.868842585,7.700184168,7.849815999,8.226002241,12.18618004,15.3991686,15.3751,15.01611667,15.551925,15.45405833,17.98669167,22.11788333,24.615425,25.35393339,27.99459167,30.4069,30.94983333,31.7332486,32.27,34.56880833,36.59618333,38.95075833,39.5672575,40.21173917,40.27831833,41.79416833,43.89211583,46.90565167,49.0854,52.14166667,55.80666667,57.888,58.15004,59.51265833,64.327475,68.93323333,68.874875,68.598275,69.03906667,69.64929167,74.1524,81.86265833,78.103235,,,,,
Bulgaria,BGR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.001169999999,0.001169999999,0.001169999999,0.001169999999,0.001169999999,0.001169999999,0.001169999999,0.001169999999,0.001169999999,0.001169999999,0.001169999999,0.001169999999,0.00108,0.0009791666658,0.000969999999,,,,,,,,,,,0.00103,0.00094,0.00087,0.00083,0.00084,0.00219,0.01778825,0.02334116667,0.02759358333,0.05413366667,0.06717083333,0.1778886667,1.681879167,1.760358333,1.836383333,2.123275,2.184708333,2.076975,1.732701667,1.575108917,1.574133333,1.559266667,1.42905,1.337116667,1.406691667,1.477391667,1.406458333,1.52205,1.473566667,,,,,
Bahrain,BHR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,0.4761899995,0.4761899995,0.4761899995,0.4761899995,0.4761899995,0.4747962876,0.4385977834,0.3996303072,0.394739999,0.395499999,0.3955991657,0.395649999,0.3874533323,0.3816174993,0.3770002347,0.375999999,0.375999999,0.375999999,0.3759999996,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.3759999892,0.375999965,0.3759999708,0.3759999675,0.375999965,0.3759999625,0.3759999792,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,,,,,
"Bahamas, The",BHS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.001700833,0.999999999,1,0.9999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.9999999996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
Bosnia and Herzegovina,BIH,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.734055833,1.759667583,1.835795385,2.122859512,2.185659583,2.078170426,1.732932204,1.575157028,1.57272202,1.559071956,1.429002742,1.33519568,1.407891238,1.476739568,1.406936586,1.522209974,1.473051323,,,,,
Belarus,BLR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.52096667,13.22987667,26.02054958,46.12762,249.2953292,876.75,1390,1790.916667,2051.270833,2160.2575,2153.82,2144.564167,2146.078333,2136.3975,2793.049218,2978.51,4974.633333,8336.898333,8880.0525,,,,,
Belize,BLZ,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.42857,1.42857,1.42857,1.42857,1.42857,1.42857,1.42857,1.448411667,1.666670001,1.666670001,1.666670001,1.643682118,1.601561846,1.632683781,1.710926784,1.808043705,2.225673132,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,
Bermuda,BMU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.8571425139,0.8571425139,0.8571425139,0.8571425139,0.8571425139,0.8571425139,0.8571425139,0.8690470949,1,1,1,0.999999999,1,1,0.9999999995,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.999999999,0.9999999996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
