Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.63009716,1128.000024,1662.215949,411.7596418,19.79480281,3.674348097,-0.772697886,-8.525170005,1.805003037,1.547195902,2.77116472,2.23386493,6.708930428,9.679507319,8.328924829,16.66125777,20.8372929,1.463159974,5.73238743,7.852383768,1.068103014,2.418869884,1.389726358,4.009438267,12.44949552,12.90489121,
Burundi,BDI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,4.436860068,-1.089324619,6.057268722,4.023883697,-0.1996506114,3.85096274,3.828557669,6.006493507,15.7223073,15.7098746,6.856551574,6.834514041,23.89562065,36.540757,2.4985195,12.16739435,5.868096357,8.151231356,14.31686979,3.804286836,1.675675676,7.11323764,4.486797697,11.66159985,7.002169567,8.996938735,1.823333333,9.679346581,14.85281498,19.26325364,26.43678161,31.11158983,12.50041077,3.385424273,24.43202421,9.296187713,-1.365680053,10.64746457,8.176429375,13.25206992,2.745420002,8.412062858,24.40695104,10.55543553,6.493265915,9.59216606,18.16104531,7.937958075,4.405352342,5.544688913,5.557689614,16.0525353,
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.2994672548,0.9926762608,1.404607035,2.148003413,4.168760586,4.065201375,4.174347619,2.730302686,2.701449829,3.753992291,3.908472385,4.343628546,5.448431284,6.955280087,12.67788775,12.76819859,9.068609811,7.096000591,4.470593316,4.469083949,6.648688297,7.627486568,8.726549066,7.661609837,6.34177491,4.868733995,1.294368191,1.553382613,1.160934934,3.107050651,3.44831218,3.215310693,2.427955672,2.754426435,2.377540845,1.467966991,2.077021074,1.628160495,0.9492502884,1.120848234,2.544517762,2.469258231,1.645214362,1.588964,2.097283112,2.781432637,1.791207701,1.8230563,4.489444205,-0.05314567413,2.189299204,3.532082107,2.839663434,1.11309594,0.3400028334,0.5614291528,1.973852647,2.12597086,
Benin,BEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4405992149,38.53086617,14.46254822,4.914239726,3.466295906,5.753314584,0.3267228934,4.165404423,3.984295478,2.489162355,1.487242461,0.8738908309,5.364520858,3.782176965,1.298068133,7.947298761,2.156829962,2.307356822,2.720908513,6.744416882,0.8900086471,-1.006043873,0.2736678162,-0.848347682,0.079070843,
Burkina Faso,BFA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.788161994,18.56213873,1.675909561,5.574202829,1.845123198,-0.7302525227,2.36410602,-4.333753909,-0.2867136878,9.655529358,1.772603315,2.06121818,-2.923356559,7.603890363,8.719609454,18.75694661,-8.400718778,29.9861043,8.269140072,14.99346595,12.2026365,7.555705604,12.05976521,8.153762774,4.846957682,6.906057821,-2.611742925,-2.681784235,4.255616018,-0.4817987152,-0.5043033889,2.162600527,-1.991135807,0.5534557235,25.17787622,7.458844978,6.097804391,2.318690622,5.084333441,-1.072613628,-0.3042121685,5.007432908,2.175694807,2.034565741,-0.4002287021,6.415040184,2.333108564,-0.2306273063,10.6597979,2.608176664,-0.7642307347,2.759767249,3.818152403,0.5337385071,-0.2580895175,0.9549933174,-0.2447641259,0.3680470359,
Bangladesh,BGD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.874696091,7.412765957,6.045479756,6.12671847,6.357364123,3.634076918,3.0148186,5.313740079,10.29781179,2.37712903,5.305601057,8.402237956,6.106695898,2.208256209,2.007173742,3.332564933,5.668707734,7.587536385,7.046618162,6.765261171,9.106984969,8.901944895,5.423472362,8.126676392,11.39516516,6.217504221,7.530406409,6.992081513,6.193840909,5.513525727,5.702070157,
Bulgaria,BGR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.726387537,2.369668246,6.388888889,23.8,338.4491115,91.29793273,72.87879139,96.05733827,62.05483368,121.6075424,1058.373559,18.67220444,2.573042819,10.31626213,7.360939272,5.810143657,2.348641696,6.147130742,5.038838071,7.261594628,8.40253419,12.3487196,2.753202239,2.438990605,4.219903466,2.954568298,0.8900935409,-1.418183803,-0.104633261,-0.7987490903,2.064355063,
Bahrain,BHR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,2.134471719,4.258098223,3.25732899,-0.1941276389,1.628981278,5.789473685,5.088195386,14.33182698,24.39299831,16.15978212,22.49576658,17.73112089,15.78553759,2.205991951,3.869525059,11.34459681,8.885713085,2.972399151,0.3223992502,-2.635969303,-2.296093214,-1.745001754,0.3034359661,1.485897322,0.9293354375,0.7644197359,-0.1724137931,2.538860104,0.8169108978,2.704034751,-0.4522273825,2.43155134,-0.3665338645,-1.287587972,-0.7048529531,-1.207571802,-0.4955401388,1.593625498,2.352941176,2.586206897,2.007469655,3.256666667,3.526003164,2.795512836,1.961884683,-0.4014869888,2.758286056,3.301006139,2.646291465,1.839519875,2.800594698,1.38734376,
"Bahamas, The",BHS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,5.437756499,4.541031463,8.935774123,6.152093421,4.614971827,6.830811319,5.481754162,13.07184584,10.359635,4.255836576,3.189876371,6.109070359,9.091393268,12.09783723,11.1144985,6.012621017,4,3.966346154,4.605009634,5.433781544,5.756464011,4.402411828,5.387658228,4.66931912,7.114681202,5.738198862,2.72289767,1.399334237,2.066994954,1.379137412,0.5441503834,1.336613366,1.25424826,1.606329417,2.044989775,2.173577925,3.025045263,0.9819140368,1.591606181,2.389826274,2.492577949,4.489559954,2.062734735,1.344027384,3.198781417,1.97336756,0.7224147845,1.506998589,1.86826447,-0.34637693,1.518207007,
Bosnia and Herzegovina,BIH,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.125566278,1.500777045,7.427043284,-0.381464413,2.123490942,3.671250259,2.05267452,-0.09304568383,-0.8971940542,-1.023285045,-1.089130318,1.168812637,
